Comentario,Fecha,Estrellas,Nombre,Tipo Establecimiento,Dirección,Coordenadas,Latitud,Longitud,Calificación,Fecha_numero
El hotel tiene excelente servicio y buenas avitaciones y con atención al cliente de buena calidad les recomiendo que se hospeden en el hotel Rio Amazonas Quito servicio de calidad,una semana atrás en Google,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,06/21/2024
"Su ubicación es bastante conveniente, dada su cercanía a la zona de diversión de la capital. Así como la cercanía zonas de alta actividad económica de la ciudad. Posterior está su servicio de tipo 5 estrellas, cordiales desde el ingreso hasta el comedor. Un detalle que quizás pueda mencionar, es las camas, si no estás acostumbrado a camas blandas, puede ser una mala experiencia, dado que sus camas son amplias pero blandas, que al acostarte sientes que te hundes en la cama. Ofrece un desayuno tipo buffet, no es que tenga una variedad de opciones pero quedas satisfecho por la calidad de los alimentos, sabor y preparación.",Hace 6 meses en Google,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,12/24/2023
"Una recepcion excelente. El mejor servicio, almuerzo delicioso, la musica hermosa, no paramos de bailar. El salon Bien decorado, amplio. Supero mis espectativas. Por mucho tiempo he realizado eventos en El Hotel Amazonas y hoy dejo un recuerdo inolvidable en la memoria",Hace 6 meses en Tripadvisor,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,12/24/2023
Es un lugar con muy buena vista y cuenta con instalaciones increíbles para toda ocasión,una semana atrás en Google,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,06/21/2024
Buenas días es un hotel que cuenta buenas atención hay cliente buen sistema de seguridad  la lo recomiendo,una semana atrás en Google,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,06/21/2024
"Gracias por el evento que me asesoro en todo momento, las personas muy amables sobre todo nuestro coordinador Marlon que fue uno de los mejores que eh conocido quien nos atendió con gran amabilidad desde que entramos y no nos hizo esperar como la gran mayoría de hoteles nos suelen dejar. Recomiendo que realicen sus eventos y pregunten por Marlon el les ayuda en todo momento.",Hace 5 meses en Google,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,01/23/2024
Agradecida con la atención de su excelente personal administrativo. Exitos y bendiciones. Bueno fui invitada a celebrar los 20 años de la familia Oroplast que realizó su evento en este hermoso Hotel. Por cierto la pasé genial muchas gracias..!.😋😋🙏 Recomendado si quieres realizar tus eventos sociales tienen amplias instalaciones..,Hace 6 meses en Google,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,12/24/2023
Buena la experiencia esta ubicado en un lugar comercial y donde se puede encontrar muy buena gastronomía,Hace un mes en Google,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,05/22/2024
Muy cómodas las habitaciones amplias y confortables,una semana atrás en Google,1/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,-1.0,06/21/2024
"El hotel tiene excelentes escenarios para fotografiarse, a pesar de estar en el centro norte de la ciudad, es una calma que traslada a un lugar tranquilo y cómodo. La comida nítida su presentación y sabor, un lugar acogedor, los baños impecables, siempre atentos a lo que desean en el momento adecuado.",Hace 8 meses en Tripadvisor,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,10/25/2023
"La decoración del salón muy lindo, el servicio muy bueno, el personal atento. El menú muy rico. En general estuvo acorde a lo solicitado. |Nuestro evento salió como nos esperábamos. Si recomiendo realizar sus eventos en el Río. 🥰|…",Hace 10 meses en Tripadvisor,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,08/26/2023
Es muyy hermoso se los recomiendo,una semana atrás en Google,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,06/21/2024
"La comida es estupenda, el servicio me encanta, habitaciones súper cómodas. 100% recomendado.",Hace 6 meses en Google,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,12/24/2023
"Hermoso llegar, esta vez pude asistir a uno de sus locales Pra eventos muy lindo, el personal muy atento y el lugar bien aseado",Hace 6 meses en Google,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,12/24/2023
